Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,0.016588,-7.0567E-17,0,0,0,10.2,0.057887,-2.0329E-17,9.6317E-18,3.4542,-3.7197E-18,3.4037,0,0,0,0,0,0,package://cart_pole_3d_description/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://cart_pole_3d_description/meshes/base_link.STL,White,Boss-Extrude1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
cart_Link,8.7244E-18,-1.0887E-07,0.004059,0,0,0,13.204,0.10629,8.1278E-08,-2.9575E-18,0.17178,4.5022E-07,0.2371,0,0,0,0,0,0,package://cart_pole_3d_description/meshes/cart_Link.STL,1,0,0,1,0,0,0,0,0,0,package://cart_pole_3d_description/meshes/cart_Link.STL,Red,Fillet1-1,cart coordinate,Axis1,base_cart_joint,prismatic,0,0,0.072,0,0,0,base_link,1,0,0,0.5,2,-0.75,0.75,,,,,,,,
pole_Link,4.3315E-18,1.3127E-16,0.29235,0,0,0,0.83758,0.022017,1.6996E-20,-3.6264E-19,0.022127,-1.0739E-17,0.00023906,0,0,0,0,0,0,package://cart_pole_3d_description/meshes/pole_Link.STL,0,0,1,1,0,0,0,0,0,0,package://cart_pole_3d_description/meshes/pole_Link.STL,Blue,Cut-Extrude2-1,Coordinate System3,Axis2,cart_pole_joint,revolute,0,0,0.1305,0,0,0,cart_Link,0,-1,0,0,10,-0.34907,0.34907,,,,,,,,
top_weight_Link,5.0699E-18,0,-0.00030865,0,0,0,0.3739,0.00029872,0,0,0.00029872,0,0.00029872,0,0,0,0,0,0,package://cart_pole_3d_description/meshes/top_weight_Link.STL,0,1,0,1,0,0,0,0,0,0,package://cart_pole_3d_description/meshes/top_weight_Link.STL,Green,Revolve1-1,Coordinate System4,,pole_ball_joint,fixed,0,0,0.61694,0,0,0,pole_Link,0,0,0,,,,,,,,,,,,
